"CODEST,""NOMEST"",""SUBTIPEST"",""CODCEN"",""caca"",""codasi"",""nomasi"",""nomasicorto"",""tipo"",""ciclo"",""desccurso"",""ofertada"",""docencia"",""complform"",""crdtsteo"",""crdtspra"",""crdtsects"",""duracion"",""tfg"",""estadoasi"""
"C001,""GRADO EN GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO"",""GRA"",""3009579"",""2015-16"",""401"",""ASIGNATURA 1 DE MOVILIDAD"",""ASIGNATURA 1 DE MOVILIDAD"",""O"",""9"",""9"",""S"",""S"",""N"",""0"",""0"",""1"",""S"",""N"",""V"""
"C001,""GRADO EN GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO"",""GRA"",""3009579"",""2015-16"",""402"",""ASIGNATURA 2 DE MOVILIDAD"",""ASIGNATURA 2 DE MOVILIDAD"",""O"",""9"",""9"",""S"",""S"",""N"",""0"",""0"",""2"",""S"",""N"",""V"""
"C001,""GRADO EN GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO"",""GRA"",""3009579"",""2015-16"",""403"",""ASIGNATURA 3 DE MOVILIDAD"",""ASIGNATURA 3 DE MOVILIDAD"",""O"",""9"",""9"",""S"",""S"",""N"",""0"",""0"",""3"",""S"",""N"",""V"""
"C001,""GRADO EN GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO"",""GRA"",""3009579"",""2015-16"",""404"",""ASIGNATURA 4 DE MOVILIDAD"",""ASIGNATURA 4 DE MOVILIDAD"",""O"",""9"",""9"",""S"",""S"",""N"",""0"",""0"",""4"",""S"",""N"",""V"""
"C001,""GRADO EN GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO"",""GRA"",""3009579"",""2015-16"",""405"",""ASIGNATURA 5 DE MOVILIDAD"",""ASIGNATURA 5 DE MOVILIDAD"",""O"",""9"",""9"",""S"",""S"",""N"",""0"",""0"",""5"",""S"",""N"",""V"""
"C001,""GRADO EN GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO"",""GRA"",""3009579"",""2015-16"",""406"",""ASIGNATURA 6 DE MOVILIDAD"",""ASIGNATURA 6 DE MOVILIDAD"",""O"",""9"",""9"",""S"",""S"",""N"",""0"",""0"",""6"",""S"",""N"",""V"""
"C001,""GRADO EN GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO"",""GRA"",""3009579"",""2015-16"",""407"",""ASIGNATURA 7 DE MOVILIDAD"",""ASIGNATURA 7 DE MOVILIDAD"",""O"",""9"",""9"",""S"",""S"",""N"",""0"",""0"",""7"",""S"",""N"",""V"""
"C001,""GRADO EN GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO"",""GRA"",""3009579"",""2015-16"",""408"",""ASIGNATURA 8 DE MOVILIDAD"",""ASIGNATURA 8 DE MOVILIDAD"",""O"",""9"",""9"",""S"",""S"",""N"",""0"",""0"",""8"",""S"",""N"",""V"""
"C001,""GRADO EN GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO"",""GRA"",""3009579"",""2015-16"",""409"",""ASIGNATURA 9 DE MOVILIDAD"",""ASIGNATURA 9 DE MOVILIDAD"",""O"",""9"",""9"",""S"",""S"",""N"",""0"",""0"",""9"",""S"",""N"",""V"""
"C001,""GRADO EN GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO"",""GRA"",""3009579"",""2015-16"",""410"",""ASIGNATURA 10 DE MOVILIDAD"",""ASIGNATURA 10 DE MOVILIDAD"",""O"",""9"",""9"",""S"",""S"",""N"",""0"",""0"",""10"",""S"",""N"",""V"""
"C001,""GRADO EN GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO"",""GRA"",""3009579"",""2015-16"",""411"",""ASIGNATURA 1 DE MOVILIDAD"",""ASIGNATURA 1 DE MOVILIDAD"",""O"",""9"",""9"",""S"",""S"",""N"",""0"",""0"",""1"",""S"",""N"",""V"""
